conference#Conference_applicant	conference#Conference_applicant -> conference#Person	conference#Registeered_applicant	 	 	iasted#Author	iasted#Author -> iasted#Speaker -> iasted#Delegate -> iasted#Person	iasted#Lecturer, iasted#Plenary_lecture_speaker, iasted#Tutorial_speaker, iasted#Author_book_proceedings_included, iasted#Author_cd_proceedings_included	 	 	0.741
conference#Poster	conference#Poster -> conference#Conference_contribution -> conference#Conference_document	 	conference#has_an_abstract -> conference#Abstract, conference#is_the_1th_part_of -> conference#Abstract	 	edas#AcademicEvent	edas#AcademicEvent -> edas#ConferenceEvent	 	edas#relatesTo -> edas#Document, edas#hasRelatedDocument -> edas#Document, edas#hasCall -> edas#Call, edas#forEvent -> edas#Call	 	0.741
ekaw#Conference_Paper	ekaw#Conference_Paper -> ekaw#Paper -> ekaw#Document	 	 	 	iasted#Initial_manuscipt	iasted#Initial_manuscipt -> iasted#Submission -> iasted#Document -> iasted#Item	 	 	 	0.741
cmt#Decision	 	 	cmt#hasDecision -> cmt#Paper	 	edas#SessionChair	edas#SessionChair -> edas#Person	 	edas#isReviewedBy -> edas#Paper, edas#isReviewing -> edas#Paper, edas#isInitiatedBy -> edas#Call, edas#initiates -> edas#Call	 	0.741
confOf#Registration_of_participants_event	confOf#Registration_of_participants_event -> confOf#Administrative_event -> confOf#Event	 	 	 	ekaw#Conference_Session	ekaw#Conference_Session -> ekaw#Session -> ekaw#Scientific_Event -> ekaw#Event	 	 	 	0.741
edas#NumericalReviewQuestion	edas#NumericalReviewQuestion -> edas#ReviewQuestion	 	 	 	sigkdd#Review	sigkdd#Review -> sigkdd#Document	 	 	 	0.741
edas#NumericalReviewQuestion	edas#NumericalReviewQuestion -> edas#ReviewQuestion	 	 	 	ekaw#Review	ekaw#Review -> ekaw#Document	 	 	 	0.741
cmt#Review	cmt#Review -> cmt#Document	 	 	 	edas#NumericalReviewQuestion	edas#NumericalReviewQuestion -> edas#ReviewQuestion	 	 	 	0.741
ekaw#Evaluated_Paper	ekaw#Evaluated_Paper -> ekaw#Assigned_Paper -> ekaw#Submitted_Paper -> ekaw#Paper -> ekaw#Document	 	 	 	iasted#Record_of_attendance	iasted#Record_of_attendance -> iasted#Document -> iasted#Item	 	 	 	0.741
conference#Conference_volume	conference#Conference_volume -> conference#Conference	 	 	conference#has_a_location -> conference#string	iasted#Presentation	iasted#Presentation -> iasted#Conference_activity -> iasted#Activity	 	 	 	0.741
conference#Tutorial	conference#Tutorial -> conference#Conference_part	 	conference#has_tutorials -> conference#Conference_volume	 	iasted#Conference_restaurant	iasted#Conference_restaurant -> iasted#Building -> iasted#Place	 	iasted#is_situated_in -> iasted#Conference_city, iasted#is_situated_in -> iasted#Conference_state, iasted#is_occupied_by -> iasted#Delegate, iasted#is_paid_in -> iasted#Tip	 	0.741
conference#Reviewed_contribution	conference#Reviewed_contribution -> conference#Submitted_contribution -> conference#Written_contribution -> conference#Conference_contribution -> conference#Conference_document	conference#Accepted_contribution, conference#Rejected_contribution	conference#has_a_review -> conference#Review, conference#reviews -> conference#Review	 	sigkdd#Speaker	sigkdd#Speaker -> sigkdd#Person	sigkdd#Invited_Speaker, sigkdd#Author	sigkdd#presentationed_by -> sigkdd#Document, sigkdd#presentation -> sigkdd#Document	 	0.741
conference#Workshop	conference#Workshop -> conference#Conference_part	 	conference#has_workshops -> conference#Conference_volume	 	iasted#Submission	iasted#Submission -> iasted#Document -> iasted#Item	 	iasted#is_writen_by -> iasted#Speaker	 	0.741
confOf#Camera_Ready_event	confOf#Camera_Ready_event -> confOf#Administrative_event -> confOf#Event	 	 	 	ekaw#Conference_Banquet	ekaw#Conference_Banquet -> ekaw#Social_Event -> ekaw#Event	 	 	 	0.741
confOf#Registration_of_participants_event	confOf#Registration_of_participants_event -> confOf#Administrative_event -> confOf#Event	 	 	 	edas#NonAcademicEvent	edas#NonAcademicEvent -> edas#ConferenceEvent	 	 	 	0.74
conference#Conference_document	 	conference#Conference_announcement, conference#Review	conference#has_authors -> conference#Person, conference#contributes -> conference#Person	conference#has_a_date_of_issue -> conference#date	iasted#Conference_activity	iasted#Conference_activity -> iasted#Activity	iasted#Presentation, iasted#Lecture, iasted#Registration, iasted#Introduction	iasted#is_held_in -> iasted#Conference_state, iasted#is_held_in -> iasted#Conference_days, iasted#is_paid_for -> iasted#Registration_fee	 	0.74
conference#Conference_contributor	conference#Conference_contributor -> conference#Person	 	 	 	iasted#Presenter_university	iasted#Presenter_university -> iasted#Building -> iasted#Place	 	 	 	0.74
cmt#Co-author	cmt#Co-author -> cmt#Author -> cmt#ConferenceMember -> cmt#Person, cmt#Co-author -> cmt#Author -> cmt#User -> cmt#Person	 	cmt#co-writePaper -> cmt#Paper, cmt#hasCo-author -> cmt#Paper	 	sigkdd#Deadline_Author_notification	sigkdd#Deadline_Author_notification -> sigkdd#Deadline	 	sigkdd#notification_until -> sigkdd#Author	 	0.74
conference#Topic	 	 	conference#is_a_topis_of_conference_parts -> conference#Conference_part, conference#has_a_track-workshop-tutorial_topic -> conference#Conference_part	conference#has_a_name -> conference#string	iasted#Activity	 	 	iasted#is_connected_with -> iasted#Item, iasted#is_used_for -> iasted#Item, iasted#go_through -> iasted#Item	iasted#is_dated_on -> iasted#dateTime	0.74
edas#ActivePaper	edas#ActivePaper -> edas#Paper -> edas#Document	edas#RatedPapers	 	 	iasted#Card	iasted#Card -> iasted#Item	iasted#Credit_card	 	 	0.74
conference#Person	 	conference#Conference_participant, conference#Conference_applicant, conference#Conference_contributor, conference#Track-workshop_chair	conference#has_authors -> conference#Conference_document, conference#contributes -> conference#Conference_document	conference#has_the_first_name -> conference#string, conference#has_an_email -> conference#string, conference#has_the_last_name -> conference#string	edas#Place	 	edas#ConferenceVenuePlace, edas#MeetingRoomPlace	edas#hasLocation -> edas#ConferenceEvent, edas#isLocationOf -> edas#ConferenceEvent	 	0.74
edas#RejectRating	edas#RejectRating -> edas#ReviewRating	 	 	 	ekaw#Evaluated_Paper	ekaw#Evaluated_Paper -> ekaw#Assigned_Paper -> ekaw#Submitted_Paper -> ekaw#Paper -> ekaw#Document	 	 	 	0.74
ekaw#Submitted_Paper	ekaw#Submitted_Paper -> ekaw#Paper -> ekaw#Document	ekaw#Assigned_Paper	 	 	iasted#Card	iasted#Card -> iasted#Item	iasted#Credit_card	 	 	0.74
confOf#Trip	confOf#Trip -> confOf#Social_event -> confOf#Event	 	 	 	ekaw#Workshop	ekaw#Workshop -> ekaw#Scientific_Event -> ekaw#Event	 	 	 	0.74
iasted#Non_speaker	iasted#Non_speaker -> iasted#Delegate -> iasted#Person	iasted#Student_non_speaker, iasted#Worker_non_speaker	iasted#is_designed_for -> iasted#Nonauthor_registration_fee	 	sigkdd#Person	 	sigkdd#Speaker, sigkdd#Listener, sigkdd#Organizator	sigkdd#payed_by -> sigkdd#Registration_fee, sigkdd#pay -> sigkdd#Registration_fee, sigkdd#can_stay_in -> sigkdd#Hotel, sigkdd#can_stay_in -> sigkdd#Place	sigkdd#E-mail -> sigkdd#string, sigkdd#Name -> sigkdd#string, sigkdd#Nation -> sigkdd#string	0.74
confOf#Trip	confOf#Trip -> confOf#Social_event -> confOf#Event	 	 	 	iasted#Session	iasted#Session -> iasted#Lecture -> iasted#Conference_activity -> iasted#Activity	 	 	 	0.74
edas#ClosingTalk	edas#ClosingTalk -> edas#TalkEvent -> edas#AcademicEvent -> edas#ConferenceEvent	 	 	 	ekaw#Invited_Talk	ekaw#Invited_Talk -> ekaw#Individual_Presentation -> ekaw#Scientific_Event -> ekaw#Event	 	 	 	0.74
iasted#Registration_form	iasted#Registration_form -> iasted#Form -> iasted#Document -> iasted#Item	 	iasted#is_sent_before -> iasted#Registation_deadline, iasted#send -> iasted#Delegate, iasted#is_sent_by -> iasted#Delegate	 	sigkdd#Author	sigkdd#Author -> sigkdd#Speaker -> sigkdd#Person	 	sigkdd#notification_until -> sigkdd#Deadline_Author_notification, sigkdd#obtain -> sigkdd#Award, sigkdd#submit -> sigkdd#Paper	 	0.74
cmt#Chairman	cmt#Chairman -> cmt#Person	 	cmt#markConflictOfInterest -> cmt#Paper	 	edas#AcceptedPaper	edas#AcceptedPaper -> edas#Paper -> edas#Document	 	edas#relatedToPaper -> edas#PaperPresentation, edas#relatedToEvent -> edas#PaperPresentation	 	0.74
cmt#Administrator	cmt#Administrator -> cmt#User -> cmt#Person	 	cmt#paperAssignmentToolsRunBy -> cmt#Conference, cmt#enterReviewCriteria -> cmt#Conference, cmt#runPaperAssignmentTools -> cmt#Conference, cmt#enableVirtualMeeting -> cmt#Conference, cmt#virtualMeetingEnabledBy -> cmt#Conference, cmt#detailsEnteredBy -> cmt#Conference	 	iasted#Conference_activity	iasted#Conference_activity -> iasted#Activity	 	iasted#is_held_in -> iasted#Conference_state	 	0.74
cmt#Acceptance	cmt#Acceptance -> cmt#Decision	 	 	 	conference#Accepted_contribution	conference#Accepted_contribution -> conference#Reviewed_contribution -> conference#Submitted_contribution -> conference#Written_contribution -> conference#Conference_contribution -> conference#Conference_document	 	 	 	0.74
iasted#Audiovisual_equipment	iasted#Audiovisual_equipment -> iasted#Item	iasted#Computer, iasted#LCD_projector, iasted#Overhead_projector, iasted#Video_cassette_player	iasted#is_used_by -> iasted#Speaker, iasted#is_situated_in -> iasted#Session_room, iasted#is_equipped_by -> iasted#Session_room	 	sigkdd#Speaker	sigkdd#Speaker -> sigkdd#Person	sigkdd#Author, sigkdd#Invited_Speaker	sigkdd#presentationed_by -> sigkdd#Document, sigkdd#presentation -> sigkdd#Document	 	0.74
conference#Conference_participant	conference#Conference_participant -> conference#Person	conference#Active_conference_participant, conference#Passive_conference_participant	 	 	ekaw#Session	ekaw#Session -> ekaw#Scientific_Event -> ekaw#Event	ekaw#Conference_Session, ekaw#Workshop_Session, ekaw#Poster_Session, ekaw#Regular_Session	 	 	0.74
ekaw#Assigned_Paper	ekaw#Assigned_Paper -> ekaw#Submitted_Paper -> ekaw#Paper -> ekaw#Document	 	 	 	iasted#Review	iasted#Review -> iasted#Document -> iasted#Item	 	 	 	0.74
cmt#Meta-Review	cmt#Meta-Review -> cmt#Review -> cmt#Document	 	 	 	iasted#Reviewer	iasted#Reviewer -> iasted#Speaker -> iasted#Delegate -> iasted#Person	 	 	 	0.74
cmt#Administrator	cmt#Administrator -> cmt#User -> cmt#Person	 	cmt#acceptedBy -> cmt#Paper, cmt#rejectPaper -> cmt#Paper, cmt#rejectedBy -> cmt#Paper	 	edas#AcceptedPaper	edas#AcceptedPaper -> edas#Paper -> edas#Document	 	edas#relatedToPaper -> edas#PaperPresentation, edas#relatedToEvent -> edas#PaperPresentation	 	0.74
conference#Reviewed_contribution	conference#Reviewed_contribution -> conference#Submitted_contribution -> conference#Written_contribution -> conference#Conference_contribution -> conference#Conference_document	 	conference#has_a_review -> conference#Review, conference#reviews -> conference#Review	 	iasted#Registration_form	iasted#Registration_form -> iasted#Form -> iasted#Document -> iasted#Item	 	iasted#send -> iasted#Delegate, iasted#is_sent_by -> iasted#Delegate, iasted#is_sent_before -> iasted#Registation_deadline	 	0.74
conference#Written_contribution	conference#Written_contribution -> conference#Conference_contribution -> conference#Conference_document	 	 	 	iasted#Initial_manuscipt	iasted#Initial_manuscipt -> iasted#Submission -> iasted#Document -> iasted#Item	 	 	 	0.74
edas#Excursion	edas#Excursion -> edas#SocialEvent -> edas#NonAcademicEvent -> edas#ConferenceEvent	 	 	 	ekaw#Conference_Banquet	ekaw#Conference_Banquet -> ekaw#Social_Event -> ekaw#Event	 	 	 	0.74
conference#Poster	conference#Poster -> conference#Conference_contribution -> conference#Conference_document	 	conference#has_an_abstract -> conference#Abstract, conference#is_the_1th_part_of -> conference#Abstract	 	iasted#Transparency	iasted#Transparency -> iasted#Document -> iasted#Item	 	iasted#is_prepared_by -> iasted#Speaker, iasted#prepare -> iasted#Author	 	0.74
cmt#Chairman	cmt#Chairman -> cmt#Person	 	 	 	conference#Registeered_applicant	conference#Registeered_applicant -> conference#Conference_applicant -> conference#Person	 	 	 	0.74
ekaw#Conference_Session	ekaw#Conference_Session -> ekaw#Session -> ekaw#Scientific_Event -> ekaw#Event	ekaw#Industrial_Session	ekaw#partOfEvent -> ekaw#Conference	 	iasted#Building	iasted#Building -> iasted#Place	iasted#Conference_building, iasted#Conference_hotel, iasted#Conference_restaurant, iasted#Presenter_university, iasted#Conference_airport, iasted#Presenter_house	iasted#is_situated_in -> iasted#State, iasted#is_situated_in -> iasted#City, iasted#is_paid_in -> iasted#Money, iasted#is_situated_in -> iasted#Place	 	0.74
iasted#Presenter_state	iasted#Presenter_state -> iasted#State	 	 	 	sigkdd#Listener	sigkdd#Listener -> sigkdd#Person	 	 	 	0.74
iasted#Transport_vehicle	iasted#Transport_vehicle -> iasted#Item	iasted#Car, iasted#Van, iasted#Taxi, iasted#Shuttle_bus	iasted#is_used_by -> iasted#Delegate	 	sigkdd#Speaker	sigkdd#Speaker -> sigkdd#Person	sigkdd#Author, sigkdd#Invited_Speaker	sigkdd#presentationed_by -> sigkdd#Document, sigkdd#presentation -> sigkdd#Document	 	0.74
cmt#Co-author	cmt#Co-author -> cmt#Author -> cmt#ConferenceMember -> cmt#Person, cmt#Co-author -> cmt#Author -> cmt#User -> cmt#Person	 	 	 	confOf#Student	confOf#Student -> confOf#Participant -> confOf#Person	 	 	 	0.74
conference#Conference_applicant	conference#Conference_applicant -> conference#Person	 	 	 	iasted#Sponsor	iasted#Sponsor -> iasted#Person	 	 	 	0.74
cmt#Author	cmt#Author -> cmt#ConferenceMember -> cmt#Person, cmt#Author -> cmt#User -> cmt#Person	 	 	 	confOf#Science_Worker	confOf#Science_Worker -> confOf#Person	 	 	 	0.74
cmt#User	cmt#User -> cmt#Person	 	 	 	confOf#Poster	confOf#Poster -> confOf#Contribution	 	 	 	0.74
edas#Programme	edas#Programme -> edas#Document	 	edas#hasProgramme -> edas#ConferenceEvent, edas#belongsToEvent -> edas#ConferenceEvent	 	sigkdd#Author_of_paper	sigkdd#Author_of_paper -> sigkdd#Author -> sigkdd#Speaker -> sigkdd#Person	 	sigkdd#award -> sigkdd#Best_Research_Paper_Award, sigkdd#award -> sigkdd#Best_Applications_Paper_Award	 	0.74
edas#Reception	edas#Reception -> edas#SocialEvent -> edas#NonAcademicEvent -> edas#ConferenceEvent	 	 	 	iasted#Welcome_address	iasted#Welcome_address -> iasted#Conference_activity -> iasted#Activity	 	 	 	0.74
conference#Track	conference#Track -> conference#Conference_part	 	conference#has_tracks -> conference#Conference_volume	 	iasted#Departure	iasted#Departure -> iasted#Activity_after_conference -> iasted#Activity	 	iasted#is_designed_for -> iasted#Departure_tax	 	0.74
iasted#Conference_days	iasted#Conference_days -> iasted#Time	 	iasted#is_designed_for -> iasted#Delegate, iasted#is_held_before -> iasted#Activity_before_conference	 	sigkdd#Conference	 	 	sigkdd#hold -> sigkdd#ACM_SIGKDD, sigkdd#holded_by -> sigkdd#ACM_SIGKDD	sigkdd#End_of_conference -> sigkdd#dateTime, sigkdd#Start_of_conference -> sigkdd#dateTime, sigkdd#Name_of_conference -> sigkdd#string, sigkdd#City_of_conference -> sigkdd#string	0.74
edas#TalkEvent	edas#TalkEvent -> edas#AcademicEvent -> edas#ConferenceEvent	 	 	 	ekaw#Demo_Session	ekaw#Demo_Session -> ekaw#Session -> ekaw#Scientific_Event -> ekaw#Event	 	 	 	0.739
ekaw#Flyer	ekaw#Flyer -> ekaw#Document	 	ekaw#publisherOf -> ekaw#Organisation	 	iasted#Conference_state	iasted#Conference_state -> iasted#State	 	iasted#is_situated_in -> iasted#Place, iasted#is_held_in -> iasted#Conference_activity, iasted#is_visited_by -> iasted#Delegate, iasted#is_situated_in -> iasted#Conference_building, iasted#is_situated_in -> iasted#Conference_hotel, iasted#is_situated_in -> iasted#Conference_restaurant	 	0.739
cmt#User	cmt#User -> cmt#Person	cmt#Reviewer, cmt#Author, cmt#Administrator	 	 	conference#Paid_applicant	conference#Paid_applicant -> conference#Registeered_applicant -> conference#Conference_applicant -> conference#Person	conference#Late_paid_applicant, conference#Early_paid_applicant	 	 	0.739
cmt#Decision	 	 	cmt#hasDecision -> cmt#Paper	 	edas#ConferenceChair	edas#ConferenceChair -> edas#Person	 	edas#isReviewing -> edas#Paper, edas#isReviewedBy -> edas#Paper, edas#initiates -> edas#Call, edas#isInitiatedBy -> edas#Call	 	0.739
confOf#Working_event	confOf#Working_event -> confOf#Event	 	 	confOf#has_short_title -> confOf#string, confOf#hasVAT -> confOf#string, confOf#location -> confOf#string, confOf#defaultChoice -> confOf#positiveInteger, confOf#has_title -> confOf#string, confOf#minChoice -> confOf#positiveInteger, confOf#maxChoice -> confOf#positiveInteger	ekaw#Industrial_Session	ekaw#Industrial_Session -> ekaw#Conference_Session -> ekaw#Session -> ekaw#Scientific_Event -> ekaw#Event	 	 	 	0.739
iasted#Publication	iasted#Publication -> iasted#Item	 	iasted#is_made_from -> iasted#Final_manuscript	 	sigkdd#Deadline_Author_notification	sigkdd#Deadline_Author_notification -> sigkdd#Deadline	 	sigkdd#notification_until -> sigkdd#Author	 	0.739
conference#Conference_document	 	conference#Conference_www, conference#Conference_announcement, conference#Conference_contribution, conference#Review	conference#has_authors -> conference#Person, conference#contributes -> conference#Person	conference#has_a_date_of_issue -> conference#date	iasted#Place	 	iasted#Conference_hall, iasted#Building, iasted#Session_room	iasted#is_connected_with -> iasted#Person, iasted#speak_in -> iasted#Person, iasted#is_present_in -> iasted#Person	 	0.739
iasted#Plenary_lecture	iasted#Plenary_lecture -> iasted#Lecture -> iasted#Conference_activity -> iasted#Activity	 	 	 	sigkdd#Conference_hall	sigkdd#Conference_hall -> sigkdd#Place	 	 	 	0.739
conference#Workshop	conference#Workshop -> conference#Conference_part	 	conference#has_workshops -> conference#Conference_volume	 	iasted#Coffee_break	iasted#Coffee_break -> iasted#Conference_activity -> iasted#Activity	 	iasted#is_designed_for -> iasted#Delegate	 	0.739
ekaw#Abstract	ekaw#Abstract -> ekaw#Document	ekaw#Tutorial_Abstract, ekaw#Invited_Talk_Abstract	 	 	iasted#Card	iasted#Card -> iasted#Item	iasted#Credit_card	 	 	0.739
ekaw#Conference	ekaw#Conference -> ekaw#Scientific_Event -> ekaw#Event	 	ekaw#partOfEvent -> ekaw#Conference_Session	 	sigkdd#Hotel	sigkdd#Hotel -> sigkdd#Place	 	sigkdd#can_stay_in -> sigkdd#Person	 	0.739
edas#Programme	edas#Programme -> edas#Document	 	 	 	ekaw#University	ekaw#University -> ekaw#Academic_Institution -> ekaw#Organisation	 	 	 	0.739
conference#Active_conference_participant	conference#Active_conference_participant -> conference#Conference_contributor -> conference#Person, conference#Active_conference_participant -> conference#Conference_participant -> conference#Person	 	conference#gives_presentations -> conference#Presentation, conference#is_given_by -> conference#Presentation	 	iasted#IASTED_member	iasted#IASTED_member -> iasted#Delegate -> iasted#Person	 	iasted#is_designed_for -> iasted#Memeber_registration_fee	 	0.739
conference#Workshop	conference#Workshop -> conference#Conference_part	 	conference#has_workshops -> conference#Conference_volume	 	iasted#Tip	iasted#Tip -> iasted#Money	 	iasted#is_paid_in -> iasted#Conference_restaurant	 	0.739
conference#Track	conference#Track -> conference#Conference_part	 	 	 	confOf#Conference	confOf#Conference -> confOf#Working_event -> confOf#Event	 	 	 	0.739
cmt#ExternalReviewer	cmt#ExternalReviewer -> cmt#Person	 	cmt#assignedByReviewer -> cmt#Reviewer, cmt#assignExternalReviewer -> cmt#Reviewer	 	confOf#Member_PC	confOf#Member_PC -> confOf#Person	 	confOf#reviewes -> confOf#Contribution, confOf#expertOn -> confOf#Topic	 	0.739
edas#PublishedPaper	edas#PublishedPaper -> edas#Paper -> edas#Document	 	 	 	iasted#Invitation_letter	iasted#Invitation_letter -> iasted#Document -> iasted#Item	 	 	 	0.739
cmt#ExternalReviewer	cmt#ExternalReviewer -> cmt#Person	 	 	 	conference#Regular_author	conference#Regular_author -> conference#Conference_contributor -> conference#Person	 	 	 	0.739
conference#Conference_contributor	conference#Conference_contributor -> conference#Person	 	 	 	iasted#Student_non_speaker	iasted#Student_non_speaker -> iasted#Non_speaker -> iasted#Delegate -> iasted#Person	 	 	 	0.739
cmt#Chairman	cmt#Chairman -> cmt#Person	 	cmt#markConflictOfInterest -> cmt#Paper	 	conference#Poster	conference#Poster -> conference#Conference_contribution -> conference#Conference_document	 	conference#has_an_abstract -> conference#Abstract, conference#is_the_1th_part_of -> conference#Abstract	 	0.739
conference#Active_conference_participant	conference#Active_conference_participant -> conference#Conference_contributor -> conference#Person, conference#Active_conference_participant -> conference#Conference_participant -> conference#Person	 	conference#gives_presentations -> conference#Presentation, conference#is_given_by -> conference#Presentation	 	iasted#Presenter_university	iasted#Presenter_university -> iasted#Building -> iasted#Place	 	iasted#is_situated_in -> iasted#Presenter_state, iasted#is_situated_in -> iasted#Presenter_city	 	0.739
conference#Workshop	conference#Workshop -> conference#Conference_part	 	conference#has_workshops -> conference#Conference_volume	 	iasted#Listener	iasted#Listener -> iasted#Delegate -> iasted#Person	 	iasted#is_designed_for -> iasted#Lecture, iasted#is_designed_for -> iasted#Audiovisual_equipment, iasted#sign -> iasted#Record_of_attendance, iasted#is_signed_by -> iasted#Record_of_attendance	 	0.739
edas#ConferenceChair	edas#ConferenceChair -> edas#Person	 	edas#initiates -> edas#Call, edas#isInitiatedBy -> edas#Call, edas#isReviewing -> edas#Paper, edas#isReviewedBy -> edas#Paper	 	iasted#Social_program	iasted#Social_program -> iasted#Conference_activity -> iasted#Activity	 	iasted#is_designed_for -> iasted#Delegate	 	0.739
edas#OrganizationalMeeting	edas#OrganizationalMeeting -> edas#AcademicEvent -> edas#ConferenceEvent	 	 	 	ekaw#OC_Member	ekaw#OC_Member -> ekaw#Conference_Participant -> ekaw#Person	 	 	 	0.739
ekaw#Conference_Banquet	ekaw#Conference_Banquet -> ekaw#Social_Event -> ekaw#Event	 	 	 	iasted#Presentation	iasted#Presentation -> iasted#Conference_activity -> iasted#Activity	 	 	 	0.739
iasted#Publication	iasted#Publication -> iasted#Item	iasted#Book_proceeding, iasted#Cd_proceening	iasted#is_made_from -> iasted#Final_manuscript	 	sigkdd#Document	 	sigkdd#Review, sigkdd#Paper, sigkdd#Abstract	sigkdd#submit_until -> sigkdd#Deadline, sigkdd#presentationed_by -> sigkdd#Speaker, sigkdd#presentation -> sigkdd#Speaker	 	0.739
edas#ConferenceChair	edas#ConferenceChair -> edas#Person	 	edas#initiates -> edas#Call, edas#isInitiatedBy -> edas#Call, edas#isReviewing -> edas#Paper, edas#isReviewedBy -> edas#Paper	 	iasted#Coffee_break	iasted#Coffee_break -> iasted#Conference_activity -> iasted#Activity	 	iasted#is_designed_for -> iasted#Delegate	 	0.739
edas#ConferenceSession	 	 	edas#relatesTo -> edas#Document, edas#hasRelatedDocument -> edas#Document	 	sigkdd#Conference	 	 	sigkdd#hold -> sigkdd#ACM_SIGKDD, sigkdd#holded_by -> sigkdd#ACM_SIGKDD	sigkdd#End_of_conference -> sigkdd#dateTime, sigkdd#Start_of_conference -> sigkdd#dateTime, sigkdd#Name_of_conference -> sigkdd#string, sigkdd#City_of_conference -> sigkdd#string	0.739
conference#Publisher	 	 	conference#issues -> conference#Conference_proceedings, conference#has_a_publisher -> conference#Conference_proceedings	conference#has_a_name -> conference#string	edas#Document	 	 	edas#hasRelatedDocument -> edas#Conference, edas#relatesTo -> edas#Conference, edas#relatesTo -> edas#ConferenceSession, edas#hasRelatedDocument -> edas#ConferenceSession	 	0.739
ekaw#Possible_Reviewer	ekaw#Possible_Reviewer -> ekaw#Person	 	 	 	sigkdd#Review	sigkdd#Review -> sigkdd#Document	 	 	 	0.739
edas#Review	edas#Review -> edas#Document	 	 	 	ekaw#Possible_Reviewer	ekaw#Possible_Reviewer -> ekaw#Person	 	 	 	0.739
iasted#Registration	iasted#Registration -> iasted#Conference_activity -> iasted#Activity	 	iasted#is_designed_for -> iasted#Delegate	 	sigkdd#Hotel	sigkdd#Hotel -> sigkdd#Place	 	sigkdd#can_stay_in -> sigkdd#Person	 	0.739
ekaw#Late-Registered_Participant	ekaw#Late-Registered_Participant -> ekaw#Conference_Participant -> ekaw#Person	 	 	 	sigkdd#Registration_SIGKDD_Member	sigkdd#Registration_SIGKDD_Member -> sigkdd#Registration_fee -> sigkdd#Fee	 	 	 	0.739
conference#Conference_www	conference#Conference_www -> conference#Conference_document	 	 	conference#has_a_URL -> conference#string	edas#OrganizationalMeeting	edas#OrganizationalMeeting -> edas#AcademicEvent -> edas#ConferenceEvent	 	 	 	0.739
confOf#Submission_event	confOf#Submission_event -> confOf#Administrative_event -> confOf#Event	 	 	 	ekaw#Session	ekaw#Session -> ekaw#Scientific_Event -> ekaw#Event	 	 	 	0.739
cmt#Meta-Reviewer	cmt#Meta-Reviewer -> cmt#Reviewer -> cmt#ConferenceMember -> cmt#Person, cmt#Meta-Reviewer -> cmt#Reviewer -> cmt#User -> cmt#Person	 	cmt#readByMeta-Reviewer -> cmt#Paper	 	iasted#Presenter_state	iasted#Presenter_state -> iasted#State	 	iasted#is_occupied_by -> iasted#Delegate, iasted#occupy -> iasted#Delegate, iasted#is_situated_in -> iasted#Presenter_house, iasted#is_situated_in -> iasted#Presenter_university	 	0.739
cmt#Reviewer	cmt#Reviewer -> cmt#ConferenceMember -> cmt#Person, cmt#Reviewer -> cmt#User -> cmt#Person	cmt#Meta-Reviewer	cmt#readByReviewer -> cmt#Paper, cmt#markConflictOfInterest -> cmt#Paper, cmt#readPaper -> cmt#Paper, cmt#assignedTo -> cmt#Paper, cmt#hasBeenAssigned -> cmt#Paper, cmt#writtenBy -> cmt#Review	 	ekaw#Session	ekaw#Session -> ekaw#Scientific_Event -> ekaw#Event	ekaw#Poster_Session, ekaw#Demo_Session, ekaw#Regular_Session, ekaw#Workshop_Session, ekaw#Conference_Session	ekaw#hasEvent -> ekaw#Individual_Presentation	 	0.739
cmt#Administrator	cmt#Administrator -> cmt#User -> cmt#Person	 	cmt#paperAssignmentToolsRunBy -> cmt#Conference, cmt#enterReviewCriteria -> cmt#Conference, cmt#runPaperAssignmentTools -> cmt#Conference	 	iasted#Technical_commitee	iasted#Technical_commitee -> iasted#Delegate -> iasted#Person	 	iasted#is_given_by -> iasted#Technic_activity, iasted#go_through -> iasted#Technic_activity	 	0.739
cmt#Chairman	cmt#Chairman -> cmt#Person	 	cmt#markConflictOfInterest -> cmt#Paper	 	ekaw#Flyer	ekaw#Flyer -> ekaw#Document	 	ekaw#publisherOf -> ekaw#Organisation	 	0.739
cmt#User	cmt#User -> cmt#Person	cmt#Administrator, cmt#Reviewer, cmt#Author	 	 	iasted#Building	iasted#Building -> iasted#Place	iasted#Presenter_university, iasted#Presenter_house	 	 	0.739
cmt#Review	cmt#Review -> cmt#Document	 	cmt#writtenBy -> cmt#Reviewer, cmt#writeReview -> cmt#Reviewer, cmt#endReview -> cmt#ProgramCommitteeChair	 	iasted#Brief_introduction_for_Session_chair	iasted#Brief_introduction_for_Session_chair -> iasted#Document -> iasted#Item	 	iasted#give -> iasted#Author, iasted#is_given_by -> iasted#Author, iasted#is_given_to -> iasted#Session_chair, iasted#obtain -> iasted#Session_chair	 	0.739
ekaw#Track	ekaw#Track -> ekaw#Scientific_Event -> ekaw#Event	 	 	 	iasted#Lecture	iasted#Lecture -> iasted#Conference_activity -> iasted#Activity	 	 	 	0.739
