Term 1	Term 2	Label	Ancestors 1	Ancestors 2	Children 1	Children 2	Object Property 1 	Object Property 2	Datatype Property 1	Datatype Property 2	Score
conference#Conference	edas#Conference	TRUE						edas#hasRelatedDocument -> edas#Document, edas#isMemberOf -> edas#Person, edas#isTopicOf -> edas#Topic, edas#relatesTo -> edas#Document, edas#hasTopic -> edas#Topic, edas#hasMember -> edas#Person, edas#hasCountry -> edas#Country	conference#has_a_name -> conference#string	edas#paperDueOn -> edas#dateTime, edas#registrationDueOn -> edas#dateTime, edas#endDate -> edas#dateTime, edas#startDate -> edas#dateTime, edas#manuscriptDueOn -> edas#dateTime, edas#hasName -> edas#string	1.4
cmt#Conference	conference#Conference	TRUE					cmt#paperAssignmentToolsRunBy -> cmt#Administrator, cmt#enterReviewCriteria -> cmt#Administrator, cmt#runPaperAssignmentTools -> cmt#Administrator, cmt#hasConferenceMember -> cmt#ConferenceMember, cmt#enableVirtualMeeting -> cmt#Administrator, cmt#virtualMeetingEnabledBy -> cmt#Administrator, cmt#detailsEnteredBy -> cmt#Administrator, cmt#reviewCriteriaEnteredBy -> cmt#Administrator, cmt#printHardcopyMailingManifests -> cmt#Administrator, cmt#enterConferenceDetails -> cmt#Administrator, cmt#reviewerBiddingStartedBy -> cmt#Administrator, cmt#hardcopyMailingManifestsPrintedBy -> cmt#Administrator, cmt#paperAssignmentFinalizedBy -> cmt#Administrator, cmt#startReviewerBidding -> cmt#Administrator, cmt#finalizePaperAssignment -> cmt#Administrator, cmt#memberOfConference -> cmt#ConferenceMember		cmt#siteURL -> cmt#anyURI, cmt#acceptsHardcopySubmissions -> cmt#boolean, cmt#logoURL -> cmt#anyURI, cmt#reviewsPerPaper -> cmt#int, cmt#name -> cmt#string, cmt#date -> cmt#date	conference#has_a_name -> conference#string	1.4
edas#Workshop	ekaw#Workshop	TRUE	edas#Workshop -> edas#AcademicEvent -> edas#ConferenceEvent	ekaw#Workshop -> ekaw#Scientific_Event -> ekaw#Event							1.398640157
confOf#Workshop	edas#Workshop	TRUE	confOf#Workshop -> confOf#Working_event -> confOf#Event	edas#Workshop -> edas#AcademicEvent -> edas#ConferenceEvent							1.396212326
edas#SessionChair	iasted#Session_chair	TRUE	edas#SessionChair -> edas#Person	iasted#Session_chair -> iasted#Delegate -> iasted#Person			edas#isInitiatedBy -> edas#Call, edas#isReviewedBy -> edas#Paper, edas#initiates -> edas#Call, edas#isReviewing -> edas#Paper	iasted#is_given_to -> iasted#Brief_introduction_for_Session_chair, iasted#obtain -> iasted#Brief_introduction_for_Session_chair			1.392766252
ekaw#Paper_Author	sigkdd#Author_of_paper	TRUE	ekaw#Paper_Author -> ekaw#Person	sigkdd#Author_of_paper -> sigkdd#Author -> sigkdd#Speaker -> sigkdd#Person				sigkdd#award -> sigkdd#Best_Research_Paper_Award, sigkdd#award -> sigkdd#Best_Applications_Paper_Award			1.390644649
conference#Invited_speaker	ekaw#Invited_Speaker	TRUE	conference#Invited_speaker -> conference#Conference_contributor -> conference#Person	ekaw#Invited_Speaker -> ekaw#Presenter -> ekaw#Conference_Participant -> ekaw#Person							1.388932115
edas#Presenter	ekaw#Presenter	TRUE	edas#Presenter -> edas#Author	ekaw#Presenter -> ekaw#Conference_Participant -> ekaw#Person							1.380664815
conference#Presentation	iasted#Presentation	FALSE	conference#Presentation -> conference#Conference_contribution -> conference#Conference_document	iasted#Presentation -> iasted#Conference_activity -> iasted#Activity	conference#Invited_talk	iasted#Video_presentation, iasted#PowerPoint_presentation	conference#is_the_1th_part_of -> conference#Abstract, conference#gives_presentations -> conference#Active_conference_participant, conference#has_an_abstract -> conference#Abstract, conference#is_given_by -> conference#Active_conference_participant				1.378289695
cmt#ProgramCommitteeMember	ekaw#PC_Member	FALSE	cmt#ProgramCommitteeMember -> cmt#Person, cmt#ProgramCommitteeMember -> cmt#ConferenceMember -> cmt#Person	ekaw#PC_Member -> ekaw#Possible_Reviewer -> ekaw#Person	cmt#ProgramCommitteeChair	ekaw#PC_Chair, ekaw#Session_Chair, ekaw#Workshop_Chair, ekaw#Tutorial_Chair, ekaw#SC_Member	cmt#addProgramCommitteeMember -> cmt#Administrator, cmt#hasProgramCommitteeMember -> cmt#ProgramCommittee, cmt#memberOfProgramCommittee -> cmt#ProgramCommittee, cmt#setMaxPapers -> cmt#Administrator, cmt#addedBy -> cmt#Administrator		cmt#maxPapers -> cmt#int		1.37516984
conference#Workshop	edas#Workshop	TRUE	conference#Workshop -> conference#Conference_part	edas#Workshop -> edas#AcademicEvent -> edas#ConferenceEvent			conference#has_workshops -> conference#Conference_volume				1.372323675
confOf#Banquet	ekaw#Conference_Banquet	TRUE	confOf#Banquet -> confOf#Social_event -> confOf#Event	ekaw#Conference_Banquet -> ekaw#Social_Event -> ekaw#Event							1.364326767
conference#Conference_part	confOf#Working_event	FALSE		confOf#Working_event -> confOf#Event	conference#Workshop, conference#Tutorial, conference#Track	confOf#Workshop, confOf#Tutorial, confOf#Conference	conference#was_a_track-workshop_chair_of -> conference#Track-workshop_chair, conference#has_parts -> conference#Conference_volume, conference#is_a_topis_of_conference_parts -> conference#Topic, conference#is_part_of_conference_volumes -> conference#Conference_volume, conference#has_a_track-workshop-tutorial_chair -> conference#Track-workshop_chair, conference#has_a_track-workshop-tutorial_topic -> conference#Topic	confOf#hasTopic -> confOf#Topic, confOf#hasTopic -> confOf#Topic, confOf#hasAdministrativeEvent -> confOf#Administrative_event	conference#has_a_name -> conference#string	confOf#has_short_title -> confOf#string, confOf#hasVAT -> confOf#string, confOf#location -> confOf#string, confOf#defaultChoice -> confOf#positiveInteger, confOf#has_title -> confOf#string, confOf#minChoice -> confOf#positiveInteger, confOf#maxChoice -> confOf#positiveInteger	1.361272471
cmt#ProgramCommitteeChair	confOf#Chair_PC	TRUE	cmt#ProgramCommitteeChair -> cmt#ProgramCommitteeMember -> cmt#Person, cmt#ProgramCommitteeChair -> cmt#ProgramCommitteeMember -> cmt#ConferenceMember -> cmt#Person	confOf#Chair_PC -> confOf#Person			cmt#endReview -> cmt#Review				1.358935411
ekaw#Session_Chair	iasted#Session_chair	TRUE	ekaw#Session_Chair -> ekaw#PC_Member -> ekaw#Possible_Reviewer -> ekaw#Person, ekaw#Session_Chair -> ekaw#Conference_Participant -> ekaw#Person	iasted#Session_chair -> iasted#Delegate -> iasted#Person				iasted#is_given_to -> iasted#Brief_introduction_for_Session_chair, iasted#obtain -> iasted#Brief_introduction_for_Session_chair			1.352458693
conference#Paper	confOf#Paper	TRUE	conference#Paper -> conference#Regular_contribution -> conference#Written_contribution -> conference#Conference_contribution -> conference#Conference_document	confOf#Paper -> confOf#Contribution			conference#is_the_1th_part_of -> conference#Abstract, conference#has_an_abstract -> conference#Abstract				1.347170693
cmt#ProgramCommitteeMember	sigkdd#Program_Committee_member	TRUE	cmt#ProgramCommitteeMember -> cmt#Person, cmt#ProgramCommitteeMember -> cmt#ConferenceMember -> cmt#Person	sigkdd#Program_Committee_member -> sigkdd#Organizator -> sigkdd#Person			cmt#addProgramCommitteeMember -> cmt#Administrator, cmt#hasProgramCommitteeMember -> cmt#ProgramCommittee, cmt#memberOfProgramCommittee -> cmt#ProgramCommittee, cmt#setMaxPapers -> cmt#Administrator, cmt#addedBy -> cmt#Administrator		cmt#maxPapers -> cmt#int		1.339851604
conference#Poster	confOf#Poster	TRUE	conference#Poster -> conference#Conference_contribution -> conference#Conference_document	confOf#Poster -> confOf#Contribution			conference#has_an_abstract -> conference#Abstract, conference#is_the_1th_part_of -> conference#Abstract				1.329284602
conference#Workshop	confOf#Workshop	TRUE	conference#Workshop -> conference#Conference_part	confOf#Workshop -> confOf#Working_event -> confOf#Event			conference#has_workshops -> conference#Conference_volume				1.327064654
cmt#ProgramCommitteeChair	ekaw#PC_Chair	TRUE	cmt#ProgramCommitteeChair -> cmt#ProgramCommitteeMember -> cmt#Person, cmt#ProgramCommitteeChair -> cmt#ProgramCommitteeMember -> cmt#ConferenceMember -> cmt#Person	ekaw#PC_Chair -> ekaw#Conference_Participant -> ekaw#Person, ekaw#PC_Chair -> ekaw#PC_Member -> ekaw#Possible_Reviewer -> ekaw#Person			cmt#endReview -> cmt#Review				1.326419646
confOf#Tutorial	ekaw#Tutorial	TRUE	confOf#Tutorial -> confOf#Working_event -> confOf#Event	ekaw#Tutorial -> ekaw#Individual_Presentation -> ekaw#Scientific_Event -> ekaw#Event							1.323263152
confOf#Member_PC	sigkdd#Program_Committee_member	TRUE	confOf#Member_PC -> confOf#Person	sigkdd#Program_Committee_member -> sigkdd#Organizator -> sigkdd#Person			confOf#expertOn -> confOf#Topic, confOf#expertOn -> confOf#Topic, confOf#reviewes -> confOf#Contribution, confOf#reviewes -> confOf#Contribution				1.321546013
iasted#Student_registration_fee	sigkdd#Registration_Student	TRUE	iasted#Student_registration_fee -> iasted#Registration_fee -> iasted#Fee -> iasted#Money	sigkdd#Registration_Student -> sigkdd#Registration_fee -> sigkdd#Fee							1.320086211
confOf#Chair_PC	ekaw#PC_Chair	TRUE	confOf#Chair_PC -> confOf#Person	ekaw#PC_Chair -> ekaw#Conference_Participant -> ekaw#Person, ekaw#PC_Chair -> ekaw#PC_Member -> ekaw#Possible_Reviewer -> ekaw#Person							1.31876587
conference#Person	ekaw#Person	TRUE			conference#Conference_participant, conference#Conference_contributor, conference#Conference_applicant, conference#Reviewer, conference#Committee_member	ekaw#Conference_Participant, ekaw#Possible_Reviewer, ekaw#Paper_Author, ekaw#Student, ekaw#Agency_Staff_Member	conference#has_authors -> conference#Conference_document, conference#contributes -> conference#Conference_document	ekaw#organises -> ekaw#Event, ekaw#writtenBy -> ekaw#Document, ekaw#organisedBy -> ekaw#Event, ekaw#authorOf -> ekaw#Document	conference#has_the_first_name -> conference#string, conference#has_an_email -> conference#string, conference#has_the_last_name -> conference#string		1.316328717
confOf#Author	ekaw#Paper_Author	TRUE	confOf#Author -> confOf#Person	ekaw#Paper_Author -> ekaw#Person			confOf#writes -> confOf#Contribution, confOf#writtenBy -> confOf#Contribution, confOf#writes -> confOf#Contribution				1.314193606
conference#Workshop	ekaw#Workshop	TRUE	conference#Workshop -> conference#Conference_part	ekaw#Workshop -> ekaw#Scientific_Event -> ekaw#Event			conference#has_workshops -> conference#Conference_volume				1.313957301
conference#Chair	edas#ConferenceChair	TRUE	conference#Chair -> conference#Committee_member -> conference#Person	edas#ConferenceChair -> edas#Person			conference#has_a_committee_chair -> conference#Committee, conference#was_a_committee_chair_of -> conference#Committee	edas#initiates -> edas#Call, edas#isReviewing -> edas#Paper, edas#isInitiatedBy -> edas#Call, edas#isReviewedBy -> edas#Paper			1.309190674
ekaw#OC_Member	sigkdd#Organizing_Committee_member	TRUE	ekaw#OC_Member -> ekaw#Conference_Participant -> ekaw#Person	sigkdd#Organizing_Committee_member -> sigkdd#Organizator -> sigkdd#Person							1.305133563
conference#Topic	edas#Topic	TRUE					conference#is_a_topis_of_conference_parts -> conference#Conference_part, conference#belongs_to_a_review_reference -> conference#Review_preference, conference#has_a_track-workshop-tutorial_topic -> conference#Conference_part, conference#has_been_assigned_a_review_reference -> conference#Review_preference, conference#has_a_topic_or_a_submission_contribution -> conference#Review_preference	edas#isTopicOf -> edas#Conference, edas#isTopicOf -> edas#Paper, edas#hasTopic -> edas#Conference, edas#hasTopic -> edas#Paper	conference#has_a_name -> conference#string		1.297002348
conference#Track	ekaw#Track	TRUE	conference#Track -> conference#Conference_part	ekaw#Track -> ekaw#Scientific_Event -> ekaw#Event			conference#has_tracks -> conference#Conference_volume				1.296999674
edas#Place	iasted#Place	TRUE			edas#MeetingRoomPlace, edas#ConferenceVenuePlace, edas#AccommodationPlace, edas#DiningPlace	iasted#Session_room, iasted#Conference_hall, iasted#Hotel_room, iasted#Building, iasted#Main_office	edas#hasLocation -> edas#ConferenceEvent, edas#isLocationOf -> edas#ConferenceEvent	iasted#is_situated_in -> iasted#City, iasted#is_situated_in -> iasted#City, iasted#is_connected_with -> iasted#Person, iasted#is_equipped_by -> iasted#Item, iasted#speak_in -> iasted#Person, iasted#is_connected_with -> iasted#Activity, iasted#is_present_in -> iasted#Person, iasted#is_situated_in -> iasted#Conference_state, iasted#is_situated_in -> iasted#Building, iasted#is_situated_in -> iasted#Building, iasted#is_situated_in -> iasted#Conference_city, iasted#is_situated_in -> iasted#State, iasted#is_held_in -> iasted#Activity			1.296367554
conference#Tutorial	iasted#Tutorial	TRUE	conference#Tutorial -> conference#Conference_part	iasted#Tutorial -> iasted#Lecture -> iasted#Conference_activity -> iasted#Activity			conference#has_tutorials -> conference#Conference_volume				1.281722313
conference#Abstract	sigkdd#Abstract	TRUE	conference#Abstract -> conference#Extended_abstract -> conference#Regular_contribution -> conference#Written_contribution -> conference#Conference_contribution -> conference#Conference_document	sigkdd#Abstract -> sigkdd#Document			conference#is_the_1th_part_of -> conference#Presentation, conference#has_an_abstract -> conference#Poster, conference#has_an_abstract -> conference#Presentation, conference#is_the_1th_part_of -> conference#Poster, conference#is_the_1th_part_of -> conference#Paper, conference#has_an_abstract -> conference#Paper				1.276985709
edas#CoffeeBreak	iasted#Coffee_break	TRUE	edas#CoffeeBreak -> edas#BreakEvent -> edas#NonAcademicEvent -> edas#ConferenceEvent	iasted#Coffee_break -> iasted#Conference_activity -> iasted#Activity				iasted#is_designed_for -> iasted#Delegate			1.276453606
conference#Presentation	edas#PaperPresentation	FALSE	conference#Presentation -> conference#Conference_contribution -> conference#Conference_document	edas#PaperPresentation -> edas#AcademicEvent -> edas#ConferenceEvent			conference#is_the_1th_part_of -> conference#Abstract, conference#gives_presentations -> conference#Active_conference_participant, conference#has_an_abstract -> conference#Abstract, conference#is_given_by -> conference#Active_conference_participant	edas#relatedToPaper -> edas#AcceptedPaper, edas#relatedToEvent -> edas#AcceptedPaper			1.273985789
confOf#Member_PC	ekaw#PC_Member	TRUE	confOf#Member_PC -> confOf#Person	ekaw#PC_Member -> ekaw#Possible_Reviewer -> ekaw#Person			confOf#expertOn -> confOf#Topic, confOf#expertOn -> confOf#Topic, confOf#reviewes -> confOf#Contribution, confOf#reviewes -> confOf#Contribution				1.271353955
cmt#Author	ekaw#Paper_Author	TRUE	cmt#Author -> cmt#ConferenceMember -> cmt#Person, cmt#Author -> cmt#User -> cmt#Person	ekaw#Paper_Author -> ekaw#Person			cmt#submitPaper -> cmt#Paper, cmt#writePaper -> cmt#Paper, cmt#hasAuthor -> cmt#Paper, cmt#markConflictOfInterest -> cmt#Paper				1.265795026
iasted#Conference_hotel	sigkdd#Hotel	TRUE	iasted#Conference_hotel -> iasted#Building -> iasted#Place	sigkdd#Hotel -> sigkdd#Place			iasted#is_situated_in -> iasted#Conference_state, iasted#is_designed_for -> iasted#Hotel_presenter, iasted#is_situated_in -> iasted#Hotel_room, iasted#is_situated_in -> iasted#Conference_city	sigkdd#can_stay_in -> sigkdd#Person			1.265645687
confOf#Tutorial	iasted#Tutorial	TRUE	confOf#Tutorial -> confOf#Working_event -> confOf#Event	iasted#Tutorial -> iasted#Lecture -> iasted#Conference_activity -> iasted#Activity							1.26364248
conference#Tutorial	confOf#Tutorial	TRUE	conference#Tutorial -> conference#Conference_part	confOf#Tutorial -> confOf#Working_event -> confOf#Event			conference#has_tutorials -> conference#Conference_volume				1.263403798
conference#Call_for_paper	edas#CallForPapers	TRUE	conference#Call_for_paper -> conference#Conference_document	edas#CallForPapers -> edas#Call							1.257436967
cmt#Conference	ekaw#Conference	TRUE		ekaw#Conference -> ekaw#Scientific_Event -> ekaw#Event			cmt#paperAssignmentToolsRunBy -> cmt#Administrator, cmt#enterReviewCriteria -> cmt#Administrator, cmt#runPaperAssignmentTools -> cmt#Administrator, cmt#hasConferenceMember -> cmt#ConferenceMember, cmt#enableVirtualMeeting -> cmt#Administrator, cmt#virtualMeetingEnabledBy -> cmt#Administrator, cmt#detailsEnteredBy -> cmt#Administrator, cmt#reviewCriteriaEnteredBy -> cmt#Administrator, cmt#printHardcopyMailingManifests -> cmt#Administrator, cmt#enterConferenceDetails -> cmt#Administrator, cmt#reviewerBiddingStartedBy -> cmt#Administrator, cmt#hardcopyMailingManifestsPrintedBy -> cmt#Administrator, cmt#paperAssignmentFinalizedBy -> cmt#Administrator, cmt#startReviewerBidding -> cmt#Administrator, cmt#finalizePaperAssignment -> cmt#Administrator, cmt#memberOfConference -> cmt#ConferenceMember	ekaw#partOfEvent -> ekaw#Conference_Session	cmt#siteURL -> cmt#anyURI, cmt#acceptsHardcopySubmissions -> cmt#boolean, cmt#logoURL -> cmt#anyURI, cmt#reviewsPerPaper -> cmt#int, cmt#name -> cmt#string, cmt#date -> cmt#date		1.251622922
ekaw#PC_Member	sigkdd#Program_Committee_member	TRUE	ekaw#PC_Member -> ekaw#Possible_Reviewer -> ekaw#Person	sigkdd#Program_Committee_member -> sigkdd#Organizator -> sigkdd#Person							1.246176934
cmt#Person	iasted#Person	TRUE			cmt#Chairman, cmt#ConferenceMember, cmt#User, cmt#ExternalReviewer, cmt#ProgramCommitteeMember	iasted#Delegate, iasted#Sponsor	cmt#hasConflictOfInterest -> cmt#Document	iasted#is_signed_by -> iasted#Item, iasted#pay -> iasted#Money, iasted#is_designed_for -> iasted#Time, iasted#is_designed_for -> iasted#Money, iasted#is_visited_by -> iasted#State, iasted#is_connected_with -> iasted#Place, iasted#occupy -> iasted#Building, iasted#sign -> iasted#Item, iasted#occupy -> iasted#State, iasted#is_occupied_by -> iasted#Building, iasted#is_used_by -> iasted#Item, iasted#speak_in -> iasted#Place, iasted#is_prepared_by -> iasted#Item, iasted#occupy -> iasted#City, iasted#is_present_in -> iasted#Time, iasted#is_present_in -> iasted#Place, iasted#speak_in -> iasted#Time, iasted#give -> iasted#Activity, iasted#is_paid_by -> iasted#Money, iasted#send -> iasted#Item, iasted#is_given_by -> iasted#Activity, iasted#prepare -> iasted#Item, iasted#is_designed_for -> iasted#Activity, iasted#is_writen_by -> iasted#Item, iasted#is_visited_by -> iasted#City, iasted#is_sent_by -> iasted#Item, iasted#give -> iasted#Item, iasted#is_visited_by -> iasted#Building, iasted#is_needed_for -> iasted#Item, iasted#is_present -> iasted#Time, iasted#is_given_by -> iasted#Item, iasted#is_connected_with -> iasted#Item, iasted#is_occupied_by -> iasted#State, iasted#is_occupied_by -> iasted#City, iasted#need -> iasted#Item, iasted#is_given_to -> iasted#Item, iasted#write -> iasted#Item, iasted#obtain -> iasted#Item	cmt#email -> cmt#string, cmt#name -> cmt#string		1.241833142
ekaw#Person	iasted#Person	TRUE			ekaw#Conference_Participant, ekaw#Student, ekaw#Paper_Author, ekaw#Possible_Reviewer, ekaw#Agency_Staff_Member	iasted#Delegate, iasted#Sponsor	ekaw#organises -> ekaw#Event, ekaw#writtenBy -> ekaw#Document, ekaw#organisedBy -> ekaw#Event, ekaw#authorOf -> ekaw#Document	iasted#is_signed_by -> iasted#Item, iasted#pay -> iasted#Money, iasted#is_designed_for -> iasted#Time, iasted#is_designed_for -> iasted#Money, iasted#is_visited_by -> iasted#State, iasted#is_connected_with -> iasted#Place, iasted#occupy -> iasted#Building, iasted#sign -> iasted#Item, iasted#occupy -> iasted#State, iasted#is_occupied_by -> iasted#Building, iasted#is_used_by -> iasted#Item, iasted#speak_in -> iasted#Place, iasted#is_prepared_by -> iasted#Item, iasted#occupy -> iasted#City, iasted#is_present_in -> iasted#Time, iasted#is_present_in -> iasted#Place, iasted#speak_in -> iasted#Time, iasted#give -> iasted#Activity, iasted#is_paid_by -> iasted#Money, iasted#send -> iasted#Item, iasted#is_given_by -> iasted#Activity, iasted#prepare -> iasted#Item, iasted#is_designed_for -> iasted#Activity, iasted#is_writen_by -> iasted#Item, iasted#is_visited_by -> iasted#City, iasted#is_sent_by -> iasted#Item, iasted#give -> iasted#Item, iasted#is_visited_by -> iasted#Building, iasted#is_needed_for -> iasted#Item, iasted#is_present -> iasted#Time, iasted#is_given_by -> iasted#Item, iasted#is_connected_with -> iasted#Item, iasted#is_occupied_by -> iasted#State, iasted#is_occupied_by -> iasted#City, iasted#need -> iasted#Item, iasted#is_given_to -> iasted#Item, iasted#write -> iasted#Item, iasted#obtain -> iasted#Item			1.235967768
cmt#Document	sigkdd#Document	TRUE			cmt#Paper, cmt#Review	sigkdd#Paper, sigkdd#Review, sigkdd#Abstract	cmt#hasConflictOfInterest -> cmt#Person	sigkdd#presentationed_by -> sigkdd#Speaker, sigkdd#presentation -> sigkdd#Speaker, sigkdd#submit_until -> sigkdd#Deadline			1.235021282
conference#Conference_participant	confOf#Participant	TRUE	conference#Conference_participant -> conference#Person	confOf#Participant -> confOf#Person	conference#Active_conference_participant, conference#Passive_conference_participant	confOf#Member, confOf#Student, confOf#Regular				confOf#earlyRegistration -> confOf#boolean	1.234214971
conference#Invited_talk	ekaw#Invited_Talk	TRUE	conference#Invited_talk -> conference#Presentation -> conference#Conference_contribution -> conference#Conference_document	ekaw#Invited_Talk -> ekaw#Individual_Presentation -> ekaw#Scientific_Event -> ekaw#Event							1.232973987
conference#Tutorial	ekaw#Tutorial	TRUE	conference#Tutorial -> conference#Conference_part	ekaw#Tutorial -> ekaw#Individual_Presentation -> ekaw#Scientific_Event -> ekaw#Event			conference#has_tutorials -> conference#Conference_volume				1.22947998
edas#Person	iasted#Person	TRUE			edas#Attendee, edas#ConferenceChair, edas#SessionChair, edas#TPCMember	iasted#Delegate, iasted#Sponsor	edas#attendeeAt -> edas#ConferenceEvent, edas#isMemberOf -> edas#Conference, edas#relatesTo -> edas#Document, edas#hasRelatedDocument -> edas#Document, edas#hasMember -> edas#Conference, edas#hasAttendee -> edas#ConferenceEvent	iasted#is_signed_by -> iasted#Item, iasted#pay -> iasted#Money, iasted#is_designed_for -> iasted#Time, iasted#is_designed_for -> iasted#Money, iasted#is_visited_by -> iasted#State, iasted#is_connected_with -> iasted#Place, iasted#occupy -> iasted#Building, iasted#sign -> iasted#Item, iasted#occupy -> iasted#State, iasted#is_occupied_by -> iasted#Building, iasted#is_used_by -> iasted#Item, iasted#speak_in -> iasted#Place, iasted#is_prepared_by -> iasted#Item, iasted#occupy -> iasted#City, iasted#is_present_in -> iasted#Time, iasted#is_present_in -> iasted#Place, iasted#speak_in -> iasted#Time, iasted#give -> iasted#Activity, iasted#is_paid_by -> iasted#Money, iasted#send -> iasted#Item, iasted#is_given_by -> iasted#Activity, iasted#prepare -> iasted#Item, iasted#is_designed_for -> iasted#Activity, iasted#is_writen_by -> iasted#Item, iasted#is_visited_by -> iasted#City, iasted#is_sent_by -> iasted#Item, iasted#give -> iasted#Item, iasted#is_visited_by -> iasted#Building, iasted#is_needed_for -> iasted#Item, iasted#is_present -> iasted#Time, iasted#is_given_by -> iasted#Item, iasted#is_connected_with -> iasted#Item, iasted#is_occupied_by -> iasted#State, iasted#is_occupied_by -> iasted#City, iasted#need -> iasted#Item, iasted#is_given_to -> iasted#Item, iasted#write -> iasted#Item, iasted#obtain -> iasted#Item	edas#hasEmail -> edas#string, edas#hasLastName -> edas#string, edas#hasFirstName -> edas#string, edas#hasBiography -> edas#string		1.226165119
confOf#Participant	ekaw#Conference_Participant	TRUE	confOf#Participant -> confOf#Person	ekaw#Conference_Participant -> ekaw#Person	confOf#Student, confOf#Member, confOf#Regular	ekaw#Presenter, ekaw#OC_Member, ekaw#Session_Chair, ekaw#Late-Registered_Participant, ekaw#Workshop_Chair, ekaw#Demo_Chair, ekaw#Early-Registered_Participant, ekaw#Tutorial_Chair		ekaw#writtenBy -> ekaw#Camera_Ready_Paper	confOf#earlyRegistration -> confOf#boolean		1.222641773
conference#Track-workshop_chair	ekaw#Workshop_Chair	TRUE	conference#Track-workshop_chair -> conference#Person	ekaw#Workshop_Chair -> ekaw#Conference_Participant -> ekaw#Person, ekaw#Workshop_Chair -> ekaw#PC_Member -> ekaw#Possible_Reviewer -> ekaw#Person			conference#was_a_track-workshop_chair_of -> conference#Conference_part, conference#has_a_track-workshop-tutorial_chair -> conference#Conference_part				1.21028342
ekaw#Tutorial	iasted#Tutorial	TRUE	ekaw#Tutorial -> ekaw#Individual_Presentation -> ekaw#Scientific_Event -> ekaw#Event	iasted#Tutorial -> iasted#Lecture -> iasted#Conference_activity -> iasted#Activity							1.209045092
confOf#Poster	ekaw#Poster_Paper	TRUE	confOf#Poster -> confOf#Contribution	ekaw#Poster_Paper -> ekaw#Paper -> ekaw#Document							1.205183556
ekaw#Document	sigkdd#Document	TRUE			ekaw#Paper, ekaw#Abstract, ekaw#Review, ekaw#Web_Site, ekaw#Flyer, ekaw#Programme_Brochure	sigkdd#Paper, sigkdd#Abstract, sigkdd#Review	ekaw#writtenBy -> ekaw#Person, ekaw#authorOf -> ekaw#Person	sigkdd#presentationed_by -> sigkdd#Speaker, sigkdd#presentation -> sigkdd#Speaker, sigkdd#submit_until -> sigkdd#Deadline			1.201880591
edas#Document	sigkdd#Document	TRUE			edas#Paper, edas#Review, edas#Programme, edas#MealMenu, edas#SlideSet	sigkdd#Paper, sigkdd#Review, sigkdd#Abstract	edas#relatesTo -> edas#AcademicEvent, edas#hasRelatedDocument -> edas#Conference, edas#relatesTo -> edas#ConferenceSession, edas#relatesTo -> edas#Conference, edas#relatesTo -> edas#Person, edas#hasRelatedDocument -> edas#Person, edas#hasRelatedDocument -> edas#ConferenceSession, edas#hasRelatedDocument -> edas#AcademicEvent	sigkdd#presentationed_by -> sigkdd#Speaker, sigkdd#presentation -> sigkdd#Speaker, sigkdd#submit_until -> sigkdd#Deadline			1.201584637
conference#Conference_document	ekaw#Document	TRUE			conference#Review, conference#Call_for_paper, conference#Conference_www, conference#Conference_announcement, conference#Conference_contribution	ekaw#Review, ekaw#Paper, ekaw#Abstract, ekaw#Web_Site, ekaw#Programme_Brochure, ekaw#Flyer	conference#has_authors -> conference#Person, conference#contributes -> conference#Person	ekaw#writtenBy -> ekaw#Person, ekaw#authorOf -> ekaw#Person	conference#has_a_date_of_issue -> conference#date		1.194231078
ekaw#Person	sigkdd#Person	TRUE			ekaw#Conference_Participant, ekaw#Student, ekaw#Agency_Staff_Member, ekaw#Paper_Author, ekaw#Possible_Reviewer	sigkdd#Speaker, sigkdd#Listener, sigkdd#Organizator	ekaw#organises -> ekaw#Event, ekaw#writtenBy -> ekaw#Document, ekaw#organisedBy -> ekaw#Event, ekaw#authorOf -> ekaw#Document	sigkdd#can_stay_in -> sigkdd#Place, sigkdd#payed_by -> sigkdd#Registration_fee, sigkdd#can_stay_in -> sigkdd#Hotel, sigkdd#pay -> sigkdd#Registration_fee		sigkdd#E-mail -> sigkdd#string, sigkdd#Name -> sigkdd#string, sigkdd#Nation -> sigkdd#string	1.183997854
ekaw#Paper_Author	iasted#Author	TRUE	ekaw#Paper_Author -> ekaw#Person	iasted#Author -> iasted#Speaker -> iasted#Delegate -> iasted#Person				iasted#give -> iasted#Brief_introduction_for_Session_chair, iasted#prepare -> iasted#Transparency, iasted#is_given_by -> iasted#Brief_introduction_for_Session_chair			1.17909911
cmt#Document	conference#Conference_document	TRUE			cmt#Review, cmt#Paper	conference#Review, conference#Call_for_paper, conference#Conference_announcement, conference#Conference_contribution, conference#Conference_www, conference#Call_for_participation, conference#Information_for_participants	cmt#hasConflictOfInterest -> cmt#Person	conference#has_authors -> conference#Person, conference#contributes -> conference#Person		conference#has_a_date_of_issue -> conference#date	1.169773285
